,0
HNF1B,0.015811564990689683
CCNO,0.01594382081534316
SH2D1B,0.01600869697403631
KIAA1529,0.01605040990499332
CAPNS2,0.016200178662663045
ID1,0.01635334977565399
TEKT2,0.016561396139529214
FAM92B,0.016643672029585485
C2orf50,0.01681998931598005
FOXL1,0.016886312484306654
FCGBP,0.016910685499182444
DNAH12,0.017002638145221283
LOC100131434,0.017071508259506863
ATP8A1,0.017149044689344077
ENTPD8,0.01715937275734958
PAX9,0.01721197995756897
ATP6V0A4,0.017215090190709877
C14orf39,0.017332000145766833
FAM149A,0.017339412151549754
FMO3,0.017475593436768803
FLG,0.017525501114762795
LOC284837,0.01754221916114506
SCGB3A1,0.017545741097023435
IGFBP2,0.017560628834448384
CALHM3,0.017658018143956337
KCNA6,0.017742441694652163
C9orf68,0.017844637590944745
ANXA10,0.017914852003096365
LOC441177,0.01797222541376135
SVOPL,0.017995257815389423
VSIG2,0.017995533103215215
MST1P2,0.018126844367723403
CEL,0.018179863434090206
BIRC7,0.018201859553963952
GRM4,0.018392802823505465
SELENBP1,0.01840773831508069
HES6,0.018553252588283296
GREB1L,0.018575332046013044
HLF,0.01859104689739749
ANLN,0.01866785126256235
MAP6,0.018687351842527806
PABPC1L,0.01869237852470345
PCSK9,0.018768819406375956
MGC16703,0.01879917888855197
SOX2,0.018837120058831335
TEKT5,0.018866973794527717
C14orf34,0.01899518022576255
CNTN1,0.01919852408404675
FAM3D,0.01927128025351512
NELL2,0.019329899751073545
TOX3,0.019435894405999642
C8orf47,0.019546016558536303
SLCO1B1,0.019547412167030667
C9orf117,0.019568941203117918
TRIM7,0.019627590365318102
CCNA2,0.019648586862344542
ABCA3,0.019659594745479434
FGF18,0.019673144546562667
SOX15,0.0197098195326224
CHIT1,0.01974877424280041
MS4A8B,0.019789363765916744
TNFRSF6B,0.01979403490333904
FGF2,0.019885443130911933
FAM72A,0.0200078340424213
CCDC78,0.020109971548870873
TRIM54,0.02013317039390831
GRAMD1B,0.020349345321396407
DAPK2,0.020361473004380147
CPT1B,0.020373352827079347
C2orf62,0.020514119968445804
GPR37,0.02053368191399951
ODZ3,0.020820057489947898
B3GALT2,0.020858657279504204
C17orf72,0.020867744653198284
KIAA0802,0.020872408537849555
DUSP26,0.020908897142182276
PATL2,0.02091129414226581
GOLGA8A,0.020964657958173913
SPINLW1,0.021000648231712188
C4BPA,0.02103185171864774
FAM27C,0.021037598067665614
TMEM63C,0.021082762333646126
CACNA1D,0.021133765647088687
TMEM233,0.021206132507804728
ADAMTS5,0.021377179157465533
ENPP3,0.02138454359873119
TMEM215,0.021450748623498685
C17orf50,0.021516312603978113
LIMS3-LOC440895,0.021536556517283627
SLC16A11,0.021617435309356108
FBN2,0.021674644070708682
TLR10,0.021747196478035958
CHKB-CPT1B,0.02189063095526055
ZNF257,0.021988902238771514
GPR143,0.02207261999023553
FAM196A,0.022133160759513566
CLDN8,0.022147047709691944
MT1A,0.022207231171619306
LOC100130331,0.022221599403989656
GALNT6,0.022322839265556598
DNAH3,0.022352572064350516
FCRLA,0.02241648704482643
ABCC6,0.022468065524458326
PAQR5,0.02252072198831205
SMPDL3B,0.022579835194994787
AIFM3,0.022657379315387517
KIF14,0.022776985512728633
MYCBPAP,0.022838596554903997
VTCN1,0.022856414777168117
TNS4,0.022951808327853197
C9orf98,0.023142379858754066
KLF4,0.023457707071012315
TAS1R1,0.023468451277518378
FAM131C,0.02351646337276539
PLA2G3,0.023620945348194346
UPK1B,0.023750797927846883
NTF3,0.023982880432386777
ATP12A,0.02417520457993695
LPHN2,0.02436877594134389
ANKRD43,0.0243828887507561
HPCA,0.024425235742647797
ADM2,0.024450432908310598
CLCNKA,0.024467443589561037
LRRC66,0.02448089467900506
CD27,0.024543264868859327
GSTA3,0.024553714059421906
KNDC1,0.024575223496631465
C16orf79,0.024674201882072075
ADH1C,0.0247014667432414
CR1L,0.024745775820147912
PLIN5,0.02480535979922211
DERL3,0.02492553115717056
HSF4,0.024944161665818268
BFSP2,0.024958652007528337
C11orf66,0.025017208454460503
PIGR,0.025131242814255945
RGS11,0.02524697891311026
SULT1A2,0.025316875864155576
WFDC3,0.02536465951356371
FLJ40330,0.025519746063320563
ABCC6P1,0.02564627782147466
KLHL35,0.025712618960925412
NR3C2,0.02574613110540428
FLJ42875,0.025918420716928958
FGF12,0.02626726275041175
LRRC16B,0.026410953159124208
KIR2DL3,0.02642940313490192
C9orf135,0.026682347801317747
FCRL2,0.0267617620734798
SERPINB11,0.02677532557907981
SRPX,0.02684590847214747
AGBL4,0.026980361114405604
LOC283663,0.027120948583407873
C10orf90,0.02717869684469164
GAS2,0.027204516407161854
CCDC60,0.02731885286604628
CCDC17,0.02739727075100422
SP6,0.027440072795131398
TAC4,0.02747358943461598
KRT16,0.027504108513549508
HMMR,0.027527136735314157
ABCA13,0.027528306722598577
NT5E,0.027618534532894288
KLK6,0.027841809290540042
C4orf47,0.027902496342999256
IRX2,0.02791263127221747
LOC619207,0.027994083043636247
PLEKHG7,0.028101753431421756
HOXB9,0.02810933059843837
DNASE2B,0.028185766174087506
CRYM,0.02824765950695685
RORC,0.0283755018458274
CYP4B1,0.028386633450637803
NCAM2,0.02850145555080792
DEPDC1,0.028552546716448166
SLC17A9,0.028572069006817653
